x,y
4.0,2.405198531718517
5.0,1.6094379124341003
6.0,3.054540531241925
7.0,1.9459101490553132
8.0,2.0794415416798357
9.0,2.5618106046396147
10.0,2.302585092994046
11.0,2.3978952727983707
12.0,2.4849066497880004
13.0,2.5649493574615367
14.0,3.022081038259103
15.0,2.70805020110221
16.0,2.772588722239781
17.0,0.3426172864917226
18.0,3.095807449236569
19.0,2.9444389791664403
20.0,2.995732273553991
21.0,3.044522437723423
22.0,3.091042453358316
23.0,1.6407771852938908
24.0,3.1780538303479458
25.0,3.2188758248682006
26.0,3.258096538021482
27.0,0.09468530168633173
28.0,3.332204510175204
