x,y
4.0,2.2189057332259385
5.0,2.2760565451282178
6.0,2.2798463376804787
7.0,2.2946024545702155
8.0,2.3157473651499694
9.0,2.3334974568991935
10.0,2.4904578042130825
11.0,2.4519588786420035
12.0,2.543812053440278
13.0,2.3508315806415983
14.0,2.4101645633745936
15.0,2.481481661838193
16.0,2.5479079952554837
17.0,2.6100875272483086
18.0,2.668542315681284
19.0,2.5150641097962607
20.0,2.567286735268009
21.0,2.616874191115611
22.0,2.940816330174473
23.0,2.6073583137800025
24.0,2.650443372780976
25.0,2.6072822601843493
26.0,2.544819377678767
27.0,2.453782198398842
28.0,2.6163832010198327
