x,y
1.0,0.0
2.0,0.6931471805599453
3.0,1.0986122886681098
4.0,0.43272948718633514
5.0,1.6094379124341003
6.0,1.791759469228055
7.0,1.9459101490553132
8.0,2.0935665788539644
9.0,2.1972245773362196
10.0,2.302585092994046
11.0,2.3978952727983707
12.0,0.7360565070045239
13.0,2.9958764205046196
14.0,2.6390573296152584
15.0,2.70805020110221
16.0,2.772588722239781
17.0,0.39412845801496943
18.0,2.8903717578961645
19.0,2.9444389791664403
20.0,3.2164475311909237
21.0,3.044522437723423
22.0,3.091042453358316
23.0,3.1354942159291497
24.0,3.1780538303479458
25.0,1.9823648014251405
