x,y
1.0,0.766785373769698
2.0,0.9376143896794241
3.0,1.0816566410188369
4.0,1.2081453832482278
5.0,1.318043071480227
6.0,1.5738858595906764
7.0,1.7633023142838349
8.0,1.7230183385434363
9.0,2.007812442245468
10.0,2.1222145997100412
11.0,2.224024681029392
12.0,2.315877855827666
13.0,2.1270513979566665
14.0,2.204067751352216
15.0,2.275384849815816
16.0,2.366335100748321
17.0,2.6228313152726432
18.0,2.6334053189230544
19.0,2.688564972957931
20.0,2.7407875984296792
21.0,2.652984940561386
22.0,2.935342000879688
23.0,2.9417663213059058
24.0,2.9413208783291496
25.0,2.8862955477567946
