x,y
3.0,20.085536923187668
4.0,54.598150033144236
5.0,1.0645899852728941E11
6.0,403.4287934927351
7.0,1096.6331584284585
8.0,2980.9579870417283
9.0,8103.083927575384
10.0,3.945114543899421E11
11.0,3.077573583809712E11
12.0,3.402803620695484E11
13.0,442413.3920089205
14.0,1202604.2841647768
15.0,3269017.3724721107
16.0,8886110.520507872
17.0,2.41549527535753E7
18.0,6.565996913733051E7
19.0,1.7848230096318725E8
20.0,4.851651954097903E8
21.0,4.542400418862723E11
22.0,3.584912846131592E9
23.0,9.744803446248903E9
24.0,2.648912212984347E10
25.0,2.3829196154124472E11
26.0,1.9572960942883878E11
27.0,5.3204824060179865E11
